"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4743","login to the application 4","chromium","2026-09-22","passed","2026-09-22","datadriven test for login scenario","smoke\different_users.spec.js","",""
"","791","login to the application 2","chromium","2026-09-18","passed","2026-09-18","","smoke\different_users.spec.js","",""
"","8884","login to the application","webkit","2026-09-19","passed","2026-09-19","","smoke\login.spec.js","",""
"","4683","login to the application 2","chromium","2026-09-22","passed","2026-09-22","datadriven test for login scenario","smoke\different_users.spec.js","",""
"","606","login to the application 3","chromium","2026-09-18","passed","2026-09-18","","smoke\different_users.spec.js","",""
"","1399","login to the application","chromium","2026-09-20","failed","2026-09-20","login test","smoke\login2.spec.js","",""
"","11652","login to the application","firefox","2026-09-19","passed","2026-09-19","","smoke\login.spec.js","",""
"","639","login to the application 4","chromium","2026-09-18","passed","2026-09-18","","smoke\different_users.spec.js","",""
"","2903","login to the application","chromium","2026-09-22","passed","2026-09-22","login test","smoke\login.spec.js","",""
"","8696","login to the application","chromium","2026-09-20","failed","2026-09-20","","smoke\login.spec.js","",""
"","1755","login to the application 1","chromium","2026-09-18","passed","2026-09-18","","smoke\different_users.spec.js","",""
"","4710","login to the application 3","chromium","2026-09-22","passed","2026-09-22","datadriven test for login scenario","smoke\different_users.spec.js","",""
"","4649","login to the application 1","chromium","2026-09-22","passed","2026-09-22","datadriven test for login scenario","smoke\different_users.spec.js","",""
